Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
15504,Faculty of Medicine and Health,U,OPTM3233,Working in Clinical Contexts,065101,1,2021,Term 3,5,21T3,20215,False,,3.7,,,2.78,24.07,62.96,6.48,,,,,,,,,,,,,3.7,,,,3.7,2.78,24.07,62.96,6.48,False,,40.28
15505,Faculty of Medicine and Health,P,OPTM6422,Clinical Optometry 4B,065112,1,2021,Term 3,5,21T3,20215,False,,,,,2.44,51.22,46.34,,,,,,,,,,,,,,,,,,0.0,2.44,51.22,46.34,0.0,False,,35.98
15506,Faculty of Medicine and Health,P,OPTM6423,Posterior Eye Therapeutics,065105,1,2021,Term 3,5,21T3,20215,False,,,,,,4.0,57.33,38.67,,,,,,,,,,,,,,,,,0.0,0.0,4.0,57.33,38.67,False,,68.34
15507,Faculty of Medicine and Health,P,OPTM6424,Professional Optometry,065106,1,2021,Term 3,5,21T3,20215,False,,,,,,2.67,26.67,70.67,,,,,,,,,,,,,,,,,0.0,0.0,2.67,26.67,70.67,False,,84.67
15508,Faculty of Medicine and Health,P,OPTM7001,Intro to Community Eye Health,059422,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15509,Faculty of Medicine and Health,P,OPTM7117,Ocular Therapy 2,058282,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15510,Faculty of Medicine and Health,P,OPTM7218,Research Project,065556,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15511,Faculty of Medicine and Health,P,OPTM8514,Research Project,065552,1,2021,Term 3,5,21T3,20215,False,,,,,,,45.83,54.17,,,,,,,,,,,,,,,,,0.0,0.0,0.0,45.83,54.17,False,,77.09
15512,Faculty of Medicine and Health,P,OPTM8522,Clinical Optometry 5B,065117,1,2021,Term 3,5,21T3,20215,False,,,,,,48.48,50.0,,,,,,,,,1.52,,,,,,,,1.52,0.0,0.0,48.48,50.0,0.0,False,,37.12
15513,Faculty of Medicine and Health,P,OPTM8523,Clinical Ocular Therapy 5B,065118,1,2021,Term 3,5,21T3,20215,False,,1.49,,,38.81,49.25,8.96,1.49,,,,,,,,,,,,,1.49,,,,1.49,38.81,49.25,8.96,1.49,False,,16.79
